,game_id,round,p1,p2,winner,model_choice,model0,model1,model2,model3,model4,model5,timestamp,ip_address
333,15,9,2,1,1,1,0,1,0,1,2,0,2020-12-16 18:55:04.150292,10.61.189.68
334,16,0,2,2,0,0,2,0,0,0,0,0,2020-12-21 23:18:06.000000,10.28.44.109
335,16,1,2,1,1,0,1,0,0,0,0,0,2020-12-21 23:18:08.114156,10.28.44.109
336,16,2,1,0,1,1,1,0,0,0,0,0,2020-12-21 23:18:23.722785,10.28.44.109
337,16,3,1,0,1,0,0,1,0,2,0,0,2020-12-21 23:18:26.187196,10.28.44.109
338,16,4,2,2,0,3,0,2,0,2,0,0,2020-12-21 23:18:29.202641,10.28.44.109
339,16,5,2,2,0,4,1,2,0,2,2,1,2020-12-21 23:18:35.802760,10.28.44.109
340,16,6,2,0,2,2,1,0,0,2,2,1,2020-12-21 23:18:38.214149,10.28.44.109
341,16,7,1,0,1,2,0,0,0,2,0,1,2020-12-21 23:18:40.939769,10.28.44.109
342,16,8,1,2,2,3,0,2,0,2,0,0,2020-12-21 23:18:42.883312,10.28.44.109
343,16,9,0,2,1,3,0,2,0,2,2,1,2020-12-21 23:18:45.585512,10.28.44.109
344,16,10,0,1,2,3,2,0,0,1,2,0,2020-12-21 23:18:48.074624,10.28.44.109
345,16,11,1,1,0,3,2,1,0,1,0,1,2020-12-21 23:18:52.363266,10.28.44.109
346,16,12,1,1,0,3,0,1,0,1,1,0,2020-12-21 23:18:56.384380,10.28.44.109
347,16,13,0,1,2,3,0,2,2,1,2,2,2020-12-21 23:18:59.988301,10.28.44.109
348,16,14,2,1,1,3,2,2,2,1,0,0,2020-12-21 23:19:02.890901,10.28.44.109
349,16,15,2,1,1,3,1,2,0,1,1,1,2020-12-21 23:19:04.828220,10.28.44.109
350,16,16,2,1,1,3,1,2,0,1,2,2,2020-12-21 23:19:06.844449,10.28.44.109
351,16,17,2,0,2,2,0,0,0,1,1,2,2020-12-21 23:19:09.464337,10.28.44.109
352,16,18,1,0,1,2,0,0,0,1,0,0,2020-12-21 23:19:13.887182,10.28.44.109
353,16,19,1,0,1,2,0,2,0,1,0,1,2020-12-21 23:19:18.847897,10.28.44.109
354,16,0,1,0,1,0,0,0,0,0,0,0,2020-12-21 23:36:03.000000,10.35.221.122
355,17,2,2,2,0,0,2,0,2,1,0,0,2020-12-21 23:36:10.816479,10.47.227.158
356,17,3,1,2,2,1,1,2,0,1,0,0,2020-12-21 23:36:14.170458,10.47.227.158
357,18,5,2,0,2,1,2,0,2,0,2,1,2020-12-21 23:36:19.362185,10.47.227.158
358,18,6,1,2,2,1,1,2,0,1,1,1,2020-12-21 23:36:22.267492,10.47.227.158
